text_long,empath_emotion,empath_rating,inital_emotion,initial_rating_of_empath_result
I am scared that the world will change too much after all of this is over. I normally love a good li,fear,1.0,Fear,8
"I feel worried about the current situation, particularly how it affects my family from whom I am sep",fear,1.0,Anxiety,2
I feel like people aren't taking it serious enough. I worked in a pharmacy for 7 years and I want ev,sadness,2.0,Anxiety,4
I am fearful about how many people are ill and dying. I’m so upset that so many NHS staff are sick o,fear,1.0,Fear,9
"I feel all sorts of feelings towards the Corona situation, firstly I feel anxious of how long it is ",sadness,3.0,Anxiety,6
The corona situation makes me feel very anxious because there are so many unknowns and i believe tha,anger,1.0,Anxiety,8
I have been furloughed from today due to corona. It’s disappointing that people aren’t following soc,anger,0.0,Anxiety,5
"I am at home at the moment, with my family, and none of us yet have experienced any illness.

Howeve",sadness,3.0,Anxiety,8
I feel stressed at this situation because people aren’t listening to the government. I also feel str,sadness,1.0,Anxiety,7
Generally I'm saddened by this coronavirus outbreak. Although I am relaxed about mine & my family's ,sadness,4.0,Relaxation,6
I’m really afraid that I might catch the virus and something bad will happen to me. I am still havin,fear,1.0,Fear,8
I feel really conflicted - on the one hand I am worried about my parents and how my family would man,anger,0.0,Anxiety,3
The whole Corona virus situation is really deadly and scary. It is also depressing because of the se,sadness,1.0,Sadness,9
I feel sadness at those who have been effected by the virus. I feel anxious about my loved ones and ,anger,2.0,Anxiety,3
I feel very concerned as people aren’t listening to advice and also are posing a threat to others. I,sadness,2.0,Anxiety,6
I feel as though not enough people are taking this pandemic seriously. The sooner people follow the ,fear,1.0,Anxiety,8
I feel sad that so many people are dying. It’s scary to think that this is happening all over the wo,sadness,2.0,Sadness,7
I feel anxious about the whole situation and the consequences it has had. I'm worried that my friend,sadness,2.0,Anxiety,1
I'm concerned about the health and wellbeing of the people I love most. My immediate and extended fa,anger,0.0,Anxiety,2
I am angry that people wont stay in and everyone who is staying in for there own health so why cant ,sadness,1.0,Anger,6
At this moment in time i feel agitated about the way that people are addressing the instructions tha,relaxation,1.0,Disgust,5
"In general I'm confident this will be resolved over time, I'm annoyed that people continue to ignore",anger,0.0,Anxiety,7
"I'm frustrated at people in the local community not taking the situation seriously, they are taking ",fear,1.0,Anxiety,7
"I have a feeling of anxiety right now, but I don't know what it is about - maybe coronavirus or mayb",sadness,3.0,Anxiety,5
I am surprisingly calm. I try to stay in the moment and force myself to accept that I personally can,anger,0.0,Anxiety,2
"As a final year university student, I'm very sad to have missed the end of my degree, will miss grad",sadness,3.0,Anxiety,6
Very anxious about the future and finances. People aren’t complying with government advice either an,fear,1.0,Anxiety,7
"Covid-19 is very stressful, anxious situation. Not knowing whether I will lose my job. Then no money",anger,0.0,Anxiety,7
"I feel scared about what is to come, and anxiety about whether I will lose people I care about to th",fear,2.0,Anxiety,8
Whilst I'm not worried/concerned too much for myself I feel worried for the people that I love and a,sadness,3.0,Relaxation,4
"Well I'm on the last 3 episodes of the Office (American one), and, although there's a definite downs",fear,1.0,Anger,4
"The current pandemic is a very worrying time for everyone, I have found that it has made me feel mor",sadness,3.0,Fear,6
"Right now, I feel anxious about whats to come and the likelihood of an extended lockdown period. Als",anger,2.0,Anxiety,3
"I feel sad about the deaths being caused by the situation, especially the recent death of a 13 year ",sadness,1.0,Sadness,7
I feel very anxious. I didn't live with my family and the thought of something happening to them wit,fear,3.0,Anxiety,8
I am worried about how I will get money and provide for my child and myself. I am worried that I can,fear,1.0,Anxiety,7
I am inpatient for this to end. I feel a bit angry against people who are not taking it seriously as,anger,0.0,Desire,5
"I am, fluctuating between feeling calm and carrying on at home day to day with tasks and looking aft",sadness,2.0,Anxiety,7
I'm personally not bothered or affected by this at all. I'm not saying the virus isn't serious or ha,anger,0.0,Relaxation,3
I want to go back to how things were before. I'm struggling to find the motivation to do things beca,anger,0.0,Anxiety,5
"Very anxious and worried , there is no time frame so that’s worrying and there a lot of people dying",sadness,2.0,Anxiety,6
"Very anxious, I am sceptical about the origins of the virus. Everything is very surreal and this is ",anger,0.0,Anxiety,2
I’m concerned about how long we will remain distanced from our friends and family and normal everyda,anger,0.0,Anxiety,3
I feel anxious because it is so unknown and I do not have much trust in the government after their c,relaxation,1.0,Anxiety,2
We are all at risk..it is like a lottery. Myself and my family are fearful and self isolating. We ar,fear,4.0,Fear,8
"At this moment I am quite worried, anxious and stressed out. This uncertainty is really bothering me",fear,2.0,Sadness,6
I am feeling calmer now we’ve been isolation for 3+ weeks but I feel so scared for family and friend,fear,3.0,Fear,8
I am feeling scared about the fact I don’t know if life will ever return to normal. I’m feeling lone,fear,5.0,Anxiety,8
I feel quite relaxed and secure regarding my personal situation but my anxiety stems from my partner,fear,1.0,Anxiety,2
I am worried about my friends and family. I am also worried about the economy short and long term. I,fear,1.0,Anxiety,4
The current situation regarding COVID 19 in the United Kingdom is worrying. I personally find myself,sadness,3.0,Anxiety,6
I am anxious for the safety of me and my loved ones. I am angry at my employer for their attitude to,anger,0.0,Anxiety,7
"I am angry that the government has taken too long to act, and that nearly 5000 people are dead becau",anger,1.0,Anxiety,5
I am upset that I live so far away from my mum.Angry that my husband still has to work. I'm angry th,anger,0.0,Anxiety,7
I feel worried and anxious about the future and how unknown and unpredictable it is. I am concerned ,sadness,1.0,Anxiety,7
I think that this current pandemic is absolutely crazy and mind blowing as this is something that no,fear,1.0,Anxiety,7
"I feel extremely anxious, sad and unsettled. I can’t sleep, I had a few panic and anxiety attacks in",fear,7.0,Anxiety,9
I am angry people are not listening to lockdown although me and my family are. I am having to work t,anger,0.0,Anxiety,7
"This virus is becoming very serious therefore i am worried, however i am taking the right precaution",anger,0.0,Anxiety,2
I am terrified about the current corona situation. I am not worried about my own health but the heal,fear,2.0,Anxiety,9
I feel anxious that myself or my loved ones may get it. I am worried that people are not taking it s,fear,2.0,Anxiety,4
"i am feeling very worried that somebody i know, or myself, may catch the virus and become very ill o",fear,1.0,Relaxation,6
I feel exhausted and a bit fed up. I am a community carer so I am classed as a key Worker. When  I a,anger,0.0,Anxiety,6
"I’m feeling fairly relaxed about it all. I’m not worried about potentially getting ill, but I am ver",fear,1.0,Relaxation,1
"I mostly feel frustrated about the Corona situation. Frustrated that the country is in lockdown, fru",anger,1.0,Relaxation,1
I am worried as don’t know when this will end and when it does end what the world will look like. I ,fear,1.0,Anxiety,6
My anger and disgust is more towards the people who aren’t taking the situation seriously and are st,anger,2.0,Anger,8
i feel quite worried because of the COVID19 and everything connected to it. I am worried  not only b,fear,1.0,Fear,8
I hope that the situation passes with a better outcome than the experts initially thought. I hope th,fear,1.0,Relaxation,5
I am angry at the way the situation has been handled by those with power. the vulnerable and non-wea,fear,1.0,Anger,6
I feel pretty worried about the situation at the moment- mostly because my job doesn't feel secure. ,sadness,2.0,Anxiety,8
My emotions have been quite up and down over the last few weeks as a result of being in lockdown. So,anger,0.0,Relaxation,2
very stressed my daughter has severe asthma so on 12 week  vulnerable people lock down.i spent 35 mi,anger,0.0,Anxiety,4
I feel anxious about what the future holds. I am working from home and staying indoors. I am angry a,fear,1.0,Anxiety,6
"Me and my family feel very uncertain at this moment in time, however we are very aware that the most",fear,5.0,Anxiety,7
"I feel helpless that in reality there's nothing much we can do to stop ourselves getting it.
I am go",sadness,1.0,Fear,7
"I'm making sure that I remain relaxed, as I don't want to cause myself any stress. This doesn't mean",anger,0.0,Relaxation,4
"A little nervous but in general okay. The amount of cases in my town are very low, and I am I  good ",anger,0.0,Anxiety,1
"Currently feeling very claustrophobic and restless being confined to the house. 
1 hours exercise/le",sadness,4.0,Sadness,7
It is sad that we are unable to visit family and friends at the moment and dont know when we will be,sadness,2.0,Anxiety,6
I am very worried about me and my family getting coronavirus and getting seriously ill and dying. I ,anger,0.0,Anxiety,4
"I feel nervous as I don't know when the lock down will end, missing my friends and loved ones, but a",sadness,2.0,Anxiety,7
Best word to describe is anxious for my families and my own health/finances. The question of our unf,fear,2.0,Anxiety,6
"My teenage son, who is autistic, doesn't understand that he cannot go shopping with his Mum but sees",anger,0.0,Anger,9
"I'm angry at the Chinese government for allowing wet markets, and for trying to shut down the report",sadness,2.0,Sadness,7
I find the Corona situation very sad as I can’t go out and see my family or friends at the moment du,sadness,3.0,Sadness,8
Tired and overwhelmed - rationally I know that this is a trauma response and that it should ease ove,fear,1.0,Anxiety,6
As an Nhs worker I'm extremely anxious to go into work. No idea what I'm going to face and no idea w,fear,2.0,Anxiety,9
"At this very moment I feel frustrated, because I have just been sent home from work (having been sel",anger,0.0,Sadness,4
I feel like I'm no longer fully in control of my life. The situation changes day by day so its not c,fear,2.0,Anxiety,5
Hoping people take in the advise to stay at home so as not to spread it more. I went to get some foo,fear,1.0,Anxiety,7
 Am just as worried about it the same as the next person.I'm feeling quite upbeat today as been doin,anger,1.0,Happiness,2
"I feel sad when looking at the death statistics coming from the most impacted regions, and seeing ho",sadness,2.0,Sadness,9
"I feel very angry that some people are not following the rules, they are visiting neighbours etc and",disgust,1.0,Anger,8
"From a medical point of view, I am not concerned for myself. I am worried about elderly relatives, i",sadness,3.0,Sadness,7
Finishing work at my dining table. Lovely to hear my kids playing on the trampoline outside and to c,anger,0.0,Happiness,1
"I am a bit worried as part of my family resides in one of the countries most affected by the virus, ",sadness,1.0,Anxiety,6
i feel worried and scared about not knowing whats going to happen and when all this will end. I am w,fear,3.0,Anxiety,8
Currently feel mentally and physically drained - it’s caused really bad anxiety as it’s very unnervi,fear,2.0,Anxiety,5
"I'm mostly worried about my 65 year old mum with asthma getting it, but I'm reassured by the low dea",anger,0.0,Anxiety,2
I'm worried that the coronavirus will affect my future. Me and my family have already lost our jobs ,sadness,1.0,Sadness,8
Well my life is fairly normal as I’m still working. But obviously it’s full of Anxiety and apprehens,sadness,1.0,Anxiety,5
I am worried about my family as they come under the vulnerable category. The government needs to do ,fear,2.0,Anxiety,7
"I feel anxious mostly. Around the safety of my family/partner, but also around my own health. The th",sadness,2.0,Anxiety,1
I am feeling a mix of different emotions. I am worried about my loved ones and saddened by the amoun,sadness,3.0,Fear,6
The current situation fills me with anxiety over the uncertainty of the whole situation.  When will ,fear,2.0,Anxiety,6
I am anxious about the way the situation is developing as well as the open ended nature of it. As so,anger,1.0,Anxiety,3
I feel a bit overwhelmed as I am just watching the news come in about the death toll but for the mos,anger,1.0,Happiness,1
I am worried about the current situation. I am worried either me or someone close to me might get it,anger,0.0,Anxiety,4
I currently feel anxious about how much longer I will be able to stay in my job. I am sad for those ,sadness,4.0,Anxiety,6
I am trying to remain hopeful that we will beat the virus but with each passing day I hear more and ,anger,0.0,Anxiety,2
I am very anxious and apprehensive about the current Corona situation. I am angry about all the peop,anger,2.0,Anxiety,7
I feel out of control and worried about the future. I don’t know when it will stop and what my situa,relaxation,3.0,Anxiety,6
I feel really worried about it and family and friends being affected by it I feel really sad that pe,sadness,1.0,Anxiety,6
I am worried for the country with Boris in hospital. Feel OK in self and with family at moment all w,sadness,3.0,Anxiety,6
"Mismanaged by any of the worlds disease control departments, we know that Lysol evidently fights the",relaxation,2.0,Fear,7
I'm largely worried about the situation getting worse.  I'm worried about my mental health. I'm worr,anger,1.0,Anxiety,6
"I am fairly safe in a secluded location, however I am very worried about the safety of my family and",anger,0.0,Sadness,2
I’m really stressed and anxious because we don’t know when this will end. I also have important plan,anger,0.0,Anxiety,2
I feel angry that the government is not providing NHS staff with correct safety equipment and thinks,sadness,1.0,Anxiety,5
"Perversely it's created a shared spirit, albeit an anxious one. 
It's like a reset switch, but more ",sadness,2.0,Anxiety,6
"The corona is going to greatly impact the economy of many countires, it saddens me that due to it, w",anger,0.0,Anxiety,5
"I feel extremely worried and scared, especially as many people I know have been affected by this dis",fear,2.0,Fear,9
"At this very moment, I feel happy and relaxed because I have just finished work and I am working fro",sadness,1.0,Happiness,3
I am mostly feeling ok. I'm coping well with isolation as I've had to work in very isolated places f,sadness,3.0,Anxiety,4
"I feel worried about the current situation, for myself as I have an underlying health condition, and",sadness,2.0,Anxiety,7
Very sad about the situation how slowly it was dealt with especially the lack of people bothering to,sadness,2.0,Sadness,9
"I am very sad about whats happening in the world, all the people dying and suffering and not enough ",sadness,4.0,Sadness,7
This situation is quite worrying as I do not know when this virus will end. I am very curious about ,relaxation,1.0,Anxiety,3
I feel uncertain and stuck in limbo at present. I am not sure how arrangements around my current pre,anger,0.0,Anxiety,2
I just want people to start listening to the government and staying inside so it can be safer sooner,sadness,1.0,Anxiety,5
"Lockdown is doable, what is difficult is the uncertainty over the future, particularly the impact on",sadness,4.0,Fear,8
"I feel anxious about the thought of leaving the house. Whilst I am very careful, I'm worried about o",sadness,1.0,Anxiety,6
"As each day passes there seems to be more reason to be concerned which makes me worried, missing soc",anger,0.0,Sadness,4
"I feel anxious about my family and friends safety. I also feel on edge, worrying about forgetting to",sadness,1.0,Anxiety,7
"Feel worried and scared for the future. It's good that the numbers are going down, but don't underst",fear,1.0,Fear,7
It is a very strange situation and the social isolation is starting to affect everyone. I am having ,fear,3.0,Sadness,2
Being locked inside is both helpful in that I feel somewhat shielded from everything that's going on,anger,0.0,Anger,7
At present I am incredibly worried about the COVID-19 situation and very worried about contracting t,sadness,1.0,Anxiety,7
"I am really worried, worried about how it is going to affect my finances, my husband's job. my own e",sadness,1.0,Anxiety,7
"Feelings about the situation have peaks and troughs. Sometimes I worry about leaving the house, some",anger,0.0,Anxiety,3
"At this moment, I am feeling a paroxysm of uncertainty. I am not sure of what is going to happen in ",anger,3.0,Relaxation,2
"Anxious and uncertain about the future, don’t know what to expect or when things will go back to nor",sadness,1.0,Anxiety,4
"I'm worried about how long this situation will last, as well as its impact on economy. I'm also anxi",anger,0.0,Anxiety,1
"Part of me is anxious because I miss being free to go outside and go to places, but I also feel some",anger,0.0,Anxiety,3
Feeling anxious and scared about the future. I'm scared of getting I'll or my family getting ill. I ,fear,2.0,Anxiety,8
"it is really scary not knowing what will happen, when things will go back to normal. its also worryi",anger,0.0,Anxiety,9
"i feel anxious when i go out into public, its going to be difficult going back to normal everyday li",fear,1.0,Anxiety,6
"I can't imagine how to live on my own
I have a state of constant anxiety because of the epidemic.
I'",fear,3.0,Anxiety,9
"I currently feel okay, I am safe in my house and neither myself or my partner have any symptoms. I a",anger,0.0,Anxiety,1
I feel very anxious about the whole situation. people are being selfish by going out to socialise an,anger,0.0,Sadness,6
"At the moment I am going through mix of feelings. There is happiness as we are together as a family,",sadness,4.0,Happiness,4
just feeling a bit anxious about the whole situation as i have asthma and elderly grandparents/older,fear,1.0,Anxiety,3
I mostly feel worried about the virus as it has not infected people I love. I am also angry about it,anger,0.0,Anxiety,9
I feel sad for everyone around the world who is affected- either directly through the illness or the,sadness,2.0,Sadness,9
"* I feel helpless on the situation 
* It angers me that people are not taking the social distancing ",fear,2.0,Anger,8
I am very worried about the virus and that myself or a loved one might catch it. I am practicing iso,sadness,2.0,Relaxation,6
I’m frustrated and sad that we’re locked down and can’t see family and partners. I’m tired of workin,anger,2.0,Sadness,8
"I am following the government guidelines, and really enjoying being at home and spending time on my ",fear,1.0,Relaxation,1
I am worried about still having to work out of the home in this climate. Not so for the safety of my,anger,0.0,Anxiety,5
"I have a young family and older parents, both of whom I'm really worried about. I know I'm in a fort",anger,1.0,Anxiety,3
I feel anxious because so many people continue to flout the clear rules and government guidelines pu,anger,0.0,Anxiety,4
I feel sad that this is happening in the United Kingdom and the rest of the world and i completely u,sadness,1.0,Anxiety,7
"I'm feeling quite scared and stressed about the pandemic at the minute, but more anger than anything",sadness,6.0,Anger,2
"I am very worried for both my own health and that of family and friends.

I am concerned for my work",sadness,1.0,Anxiety,7
I feel very anxious about the whole situation on a global level not just a national level. We do not,anger,1.0,Anxiety,1
I'm a nurse caring for elderly patients who not for ITU admission or other medical escalation. I fee,fear,2.0,Anxiety,8
I am feeling very anxious about everything right now. I don't know how my degree is going to pan out,fear,4.0,Anxiety,9
"I'm missing human interaction, going out and doing things. I've tried to tackle this by video callin",sadness,2.0,Sadness,9
"I am confused by the food situation
I have a state of constant anxiety because of the epidemic.
I'm ",fear,4.0,Fear,9
"I feel anxious about the whole situation. About contracting CV19, about my family contracting CV19, ",anger,0.0,Anxiety,3
Feeling quite helpless in the situation as there is not much to do but sit at home and wait. It's al,fear,3.0,Anxiety,3
I am more concerned about the future for the young and the risk to that from crashing the economy es,anger,1.0,Sadness,6
The corona situation at these times is very difficult but it helps us find ourselves again and slows,fear,1.0,Anxiety,7
I am currently anxious about family living in different parts of the UK and abroad but thankful that,anger,1.0,Anxiety,2
I am worried about what is happening and how long we will be stuck in the current situation and how ,fear,1.0,Anxiety,5
I feel quite relaxed about the whole situation. In some ways my personal situation is not much affec,sadness,5.0,Relaxation,2
I'm concerned and anxious about what may happen to certain family members if they were to be infecte,anger,0.0,Anxiety,5
I feel incredibly sad that so many people are dying with this horrible virus. It seems to be a real ,sadness,3.0,Anxiety,7
Feeling anxious and vulnerable due to my financial situation and lack of economic prospects. There i,sadness,2.0,Anxiety,6
"Worried, for my family as there seems no vaccine will be about soon and it is just a matter of time,",anger,0.0,Anxiety,4
"I am very anxious and worried about the COVID-19 Coronavirus. I am scared I might catch it, and that",fear,5.0,Fear,9
"I am very anxious at the moment. I have generalised anxiety disorder, and usually my mood is well co",fear,2.0,Sadness,4
"It all feels very encompassing; you can't get away from it. If it's not on the news, family and work",sadness,1.0,Sadness,5
"I feel frustrated that the government is relying on corporations to do right by their employees, whe",fear,1.0,Fear,9
The whole Coronavirus situation is very scary. I think the government are doing a decent job at keep,disgust,3.0,Anxiety,1
"i feel mostly comfortable in my own company, although it is irritating to see others in society igno",anger,0.0,Relaxation,1
I feel frustrated at the attitude of the general public and the poor reaction to the situation from ,anger,0.0,Disgust,7
"I feel nervous, constantly in a state of what if. I’m currently out of work for the foreseeable futu",relaxation,1.0,Anxiety,1
It is worrying for my family. I suffer from mental health issues and being stuck inside is making th,sadness,2.0,Fear,8
"I feel okay about it, but my emotions go through a vast range each day. I am anxious about it if I t",anger,2.0,Anxiety,3
I am very worried about the health of my family and friends. I'm extremely anxious. I'm worried abou,sadness,1.0,Anxiety,9
I am struggling to keep on top of work at home. I am scared that myself or family may be sick. I hop,fear,1.0,Desire,7
"I feel angry at people not taking the situation seriously, and those who are ignoring government adv",fear,2.0,Anxiety,7
I feel sad for the people and families who will lose their lives.  I also feel some worry about how ,sadness,1.0,Relaxation,3
"Right now I've started getting used to life under lockdown, and I'm finding ways to keep myself busy",relaxation,1.0,Sadness,5
"On the positive side, the closure of my University has made passing my year a little easier. That is",fear,1.0,Anxiety,7
"Frustrated that certain members of the public are not taking the threat seriously. 
Generally the is",anger,0.0,Anxiety,6
Stressed and uninformed. Don't feel enough is being done by the government to help with the NHS cris,anger,0.0,Anger,9
"Feeling very sad about being away from my family which are a flight away as I am here for Uni, I can",sadness,2.0,Anxiety,9
"AT THIS MOMENT IM ANXIOUS - WORRIED THAT MY 2 ASTHMATIC KIDS CATCH IT , WORRIED THAT MY SUICIDAL DAD",anger,0.0,Anxiety,3
"After 3 weeks, slowing down a bit. Noticing people are generally much slower in replying to work ema",anger,0.0,Relaxation,1
"Expanding on the previous questions, I am angry that some people do not believe this pandemic is ser",anger,0.0,Anger,8
"Despise being compared to a ‘war-time’ situation, my fear is stemmed mostly by the fact it is an inv",fear,5.0,Anxiety,8
I feel trapped.  I haven't been out of the house since Friday afternoon.  I am working from home.  I,fear,1.0,Anxiety,5
I am really concerned that someone in my close family (particulalry my elderly parents and parents i,sadness,1.0,Anxiety,4
"I feel pretty frustrated by it, it’s affecting many people’s lives. I have lost 2 holidays now that ",anger,0.0,Relaxation,2
I am very worried about the high cases and deaths all around the world. I do not feel as if the gove,sadness,1.0,Anger,6
"The coronavirus situation is making me very worried, not so much for myself but more for those aroun",sadness,3.0,Anxiety,4
"It is worrying for the country as a whole and at the very least, someone I know will be deeply affec",anger,0.0,Relaxation,2
i am not directly affected by the coronavirus however catching up and staying motivated to do uni wo,anger,0.0,Anxiety,3
I am so worried how quickly this virus has taken hold .  it scary to see the death toll constantly r,anger,0.0,Sadness,3
"Ok in the short-term, concerned in the longer term. Annoyed I don’t qualify for government support d",anger,0.0,Relaxation,1
"Scared - currently showing symptoms so I am self-isolating. As a carer & student nurse, I wish I cou",fear,1.0,Anxiety,7
